,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48
generation1,1.0,2.0,3.0,2.0,3.0,2.0,3.6888977920957107,3.4027700642732555,3.023179465037912,3.171310357691968,2.773008839074639,3.01739721470814,3.390922468144213,3.0765189297565323,3.699918897527477,3.881426775918721,3.8441619560556504,3.757158978471809,3.5682039810663557,3.1183568878842016,3.0349701498352766,3.2340854478360557,3.4053895482810175,3.485154452989028,3.020845253175691,3.0269243747716796,3.129042522416993,2.86928903189243,3.2290607887526583,3.7686482849810656,2.9479718651051026,3.8054496104737026,3.736354055756527,3.256380959117694,3.167214239298319,3.5594802924257096,2.927882134474466,2.945665911028098,2.940429071953476,2.908423823030418,3.583895846373817,2.8866598542498805,3.442880706711702,3.0469985290167454,3.766856373308973,3.4624937740029478,3.8450873985210525,2.9532360786658125
generation2,0.0,1.0,3.0,0.0,2.0,0.0,3.620143788081705,3.1578559755415743,2.9910776147655733,3.2126738659147143,2.902950618644071,2.999817207283399,3.0038235984992303,3.269432374608036,3.5325966312620847,3.4446133801724304,3.672476339192721,3.0234834192148043,3.8255599925935426,3.0321282806673726,3.0212076072178564,3.0723937416879923,3.368636329968802,3.1294997984492747,3.0860913639227596,3.0154418578328364,3.3672338846637686,2.9840426140158494,3.0235547204780184,3.832272557059571,2.829385881673589,3.269792395658441,3.630711559840178,3.1786045685356625,3.385232820391465,3.1109436177707024,2.811195291875555,3.0143291452734413,2.9866062971259395,3.081574057784325,3.6402819913338105,2.79052333364825,3.0846257207962124,3.0194382967960625,3.457861470794413,3.476180623753782,3.6812119161230648,2.861869941680698
generation3,4.0,4.0,4.0,0.0,4.0,4.0,3.975667176585162,3.9886870321069714,3.975594117022243,3.992266244862104,3.8696862254512063,3.982662378715881,3.9935901816090906,3.976886192663572,3.968090483409022,3.988707894705139,3.9842688201055476,3.993513218359695,3.93728757726551,3.984424963890708,3.968488913789913,3.9857823536740926,3.995072062539798,3.9801890562744946,3.987135637959785,3.9977986856073997,3.9912460307598336,3.894782205798072,3.965254399679148,3.9895624974933024,3.9510117832613236,3.990676998553421,3.929621260119097,3.9624923595047643,3.990974852286545,3.9928626083830796,3.954068562361205,3.9742882316230554,3.9600673461455917,3.933704838009423,3.9484467061932658,3.9435300533776565,3.9688266366277274,3.9687077948736147,3.9922949672175947,3.9590483035620188,3.9771588463817547,3.9535745525738806
generation4,2.0,1.0,4.0,3.0,2.0,1.0,3.972823105109643,3.7411416292117896,2.4012430222003243,3.9952478874361326,2.845458145624035,3.8081629957060015,3.989392136296178,3.519077079231704,3.8750653021042036,3.962646593774439,3.998084587606361,3.994766527187103,3.9955617180485428,3.9727452013243427,3.7863254633582457,3.980916032593976,3.924306517691701,3.9780578267974183,2.8653467527809973,2.947855523012015,3.998506112183117,3.4906977622781796,3.3768857102303342,3.9928403711206895,2.735351588595807,3.9904596989488397,3.993719921423514,3.95276253864046,3.8149517554110988,3.99640273977194,2.1976666340751696,3.264610852655719,2.9440543695558965,2.039141126123738,3.9397463222100297,2.319573180919732,3.9874215499031576,3.5985561948648566,3.968048285556533,3.5248023397162282,3.9946634459821095,2.020674472927272
generation5,2.0,1.0,4.0,4.0,4.0,2.0,3.9820846418298737,3.969326788958983,3.6983140529436866,3.991846095765484,3.8017340288695505,3.9574157894249087,3.988391399980823,3.991154411767904,3.987234724847205,3.978129857582744,3.998316527419904,3.967541250457437,3.982646257508028,3.9183260779363,3.9452337840144116,3.99073582262297,3.9924725236441763,3.9906342210453505,3.977265129377331,3.8311761039545535,3.9920967588779828,3.974381239694805,3.9707823795390027,3.9925811916491987,3.922857166360698,3.9922976536244437,3.9650043351927837,3.987423130698087,3.9697678716649882,3.9919104348839296,3.6117413847018818,3.9682613215814566,3.90221615135622,3.7584509050008457,3.982640224497673,3.163771968690231,3.961097543314902,3.979283542503675,3.9789901095468445,3.789134918788652,3.981397879797578,3.3201819162950343
generation6,2.0,1.0,3.0,3.0,4.0,2.0,3.7220692173322636,3.2504237083514145,3.2549773516231646,3.5195484323645276,2.973833773382092,3.0620051223541322,3.5294760476752525,3.2039981447570094,3.5641259388786253,3.548069653721746,3.534714421919093,3.1415325346437553,3.8987478998945946,3.002007842272661,2.925004488783326,3.2088971450055794,3.9159322789391604,3.1561225748933044,3.206061190790412,3.2864492575076443,3.2989630223729094,3.1438765492913165,2.995418788178976,3.6572001430141543,3.008966645055539,3.748567215389084,3.611073903686531,3.588546253924241,3.808584704698542,3.7313117784695855,2.93781884523943,3.0379460592591085,2.949609634945581,2.9651327158356144,3.4172118114406365,2.8661377282846763,3.013179088875831,3.09982071940538,3.604340053555296,2.939416482759055,3.8059369620580887,2.936341367145289
generation7,1.0,4.0,4.0,2.0,4.0,4.0,3.9931422081527903,3.9807086096054114,3.9742358093716246,3.986125183857294,3.934496176796178,3.953294003490422,3.9826188878947293,3.9908362561767605,3.9942517781964995,3.9945438956009642,3.9868568329901737,3.98993597205483,3.991431836957338,3.964839790730481,3.784608540872588,3.9904931023603867,3.9984519155222435,3.9826176849176664,3.9838532643504116,3.9762353145606846,3.9922248745388504,3.970080130312774,3.9689067521644614,3.9911930654739622,3.9877082153981154,3.9957160593770427,3.98352904925143,3.9937611090465586,3.989102386726813,3.9754197355191856,3.9672919054604434,3.9837706591620807,3.9532354371913625,3.9374810447390765,3.9895395332857735,3.8284939103667375,3.9560357196665294,3.944024543443596,3.994230707718449,3.9899444197125193,3.988600096435776,3.2852217901963456
generation8,4.0,0.0,4.0,1.0,3.0,3.0,3.963612798820726,3.920399707911272,3.917232954665219,3.9949338558023544,3.1937140624256792,3.9100690632098964,3.97771534755928,3.943030797248395,3.980208684531792,3.986016360955364,3.9976102307950647,3.995393845038909,3.962532286080272,3.970621015757327,3.9736486886709623,3.9890353887934658,3.943233816102103,3.965440843588458,3.962461478334702,3.910220126072016,3.9944853401692133,3.8607170766346455,3.8804640313921945,3.9906428791646893,3.8703196117021847,3.973693348666164,3.9744983717595814,3.9873635204830764,3.8918460568937303,3.993744288932619,3.850965441785411,3.682659845486863,3.9155055491661956,3.732805471279744,3.968388458591093,3.2780754537045405,3.9760988567339193,3.8992187512017833,3.978241097779948,3.9304342408762487,3.9825326678907103,3.8703746492822457
generation9,4.0,2.0,3.0,0.0,2.0,3.0,3.432646543651722,3.0121344056809463,3.7856420219020097,3.708182010853318,2.929134365035787,3.0117088556209586,3.1143659643791803,3.217797961389673,3.976449455188682,3.952649419433421,3.7794596216851915,3.2647562383216506,3.9017130037851886,3.057155206797248,3.0241976158066723,3.6093345944790274,3.9575161031588064,3.7931296980027085,3.033203924354965,3.3796042320102657,3.0988752342969272,3.3839202533330894,3.667100913472629,3.858288319202573,3.7273319288519757,3.953061228303473,3.8756847362719635,3.9484574104986034,3.8896141955880745,3.214326032004788,3.4090787262566575,3.1152931098549788,3.758688292523896,3.24472723650072,3.366958098985692,2.8008290473117983,3.2249938293482243,3.0192578383563045,3.7912412817705983,3.960902254874763,3.8802883390591565,3.546950277596201
generation10,0.0,0.0,4.0,2.0,0.0,2.0,3.769889548920523,3.949051467252079,2.5051559322195565,3.9936583074514194,1.8978648674953749,3.9248027196773654,3.902036965506817,3.773098188170001,3.944025046818373,3.9644939793163236,3.992814684887345,3.943545985331488,3.9154342645174394,3.9177939679460767,3.875096488652454,3.933560285592945,3.7433255741208025,3.969135275939022,3.8783625401370054,3.6191499190225884,3.9960908005974773,3.322481896308995,3.1656677359770384,3.974275744228022,1.5337460728242815,3.9564678087323406,3.8710978546954067,3.8179038370439375,3.6492828394234738,3.9928343803315234,2.481017666594208,3.6295915559833234,2.614464761502045,3.3588297730447954,3.774219148890195,1.0093587850528005,3.9042017708479473,2.884561813824187,3.925427708573,3.773850345947085,3.9777781844940834,0.22136435810906405
generation11,0.0,1.0,4.0,4.0,4.0,2.0,3.939424974662054,3.974061440896106,3.891835818894447,3.991451824219146,3.9106704852540797,3.9741092699583365,3.992232751947215,3.977304004597615,3.987935730619038,3.9786650763471734,3.993132438683298,3.996014480204817,3.9832368427779863,3.984324803408912,3.985068098224288,3.9796256005603885,3.9782086313933283,3.9908598678736804,3.9856903160653014,3.9605485403587473,3.9881694322846486,3.9468303975149026,3.9555205173916894,3.9848502976254405,3.9363380229465705,3.9816708099206,3.9510088810977066,3.979729477901446,3.939806772881911,3.9940796552192586,3.7617848591448584,3.948487862147164,3.715039891103507,3.8669736335948715,3.96994012398047,3.661304349720062,3.979071249074841,3.9658231719569845,3.96873313922388,3.962675479417523,3.987987921985479,3.7231296898931934
generation12,1.0,1.0,3.0,1.0,4.0,2.0,3.492902047709043,3.081508297551908,3.4121483975254367,3.535159956612135,3.090344096499351,3.23318307356333,3.137188396600535,3.3784327321417296,3.254737747490288,3.2051990147073677,3.3073543943137116,3.1810867139503958,3.6707100002041497,3.0493021416437784,3.1699045355679494,3.552968523397529,3.9645075038160162,3.5860946682153307,3.937035229255374,3.5596672397354614,3.098026691549048,2.97894787860051,3.4811130137922497,3.5859504400379394,3.171974464829512,3.64996965856565,3.6830192059253446,3.334908219203134,3.9710246443172603,3.133326216524184,2.4894813586436033,3.0469147945724337,3.0551153427258226,3.2342745803127575,3.394533710026755,2.9581606312616167,2.839267539030959,2.9567248526985717,3.1252670942529517,3.342213705574046,3.171306336852865,2.7299255067064814
