,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48
generation1,1.0,2.0,3.0,2.0,3.0,2.0,3.6068775108680953,2.3744562038173167,3.340032617389578,3.4966450104757585,3.1929977830774,2.427700392945861,3.0950857507430576,3.106909669912204,3.090111448189364,2.5582687227573695,2.747089524788112,2.3607912999081306,2.9800345755660658,2.942891365463653,2.8241689845759725,3.2109974236416656,3.8577249160813145,3.534671846403653,3.814401320853581,3.286970130637022,3.145245901164478,3.31570128283531,3.4808171974565187,3.7717092138445127,3.463586813265982,3.263927821533458,3.489209023853368,2.105990293201256,3.035732326881093,3.347452772214559,2.599585542804283,3.24854041778462,3.0007139413167443,2.8835305036259093,2.2154468197047037,3.7116258851487633,2.8759623698708965,3.83628753028605,3.4670975983763426,3.854924535286827,3.223904424955404,2.831926076509437
generation2,0.0,1.0,3.0,0.0,2.0,0.0,3.1333199831143532,2.2666029905058886,3.2910698347746328,3.5417789436103915,3.50093151353186,2.3983972721719575,3.0111131970163387,3.7775729977224928,3.554744171056359,2.5198239666383753,2.9032380703743756,1.599920520555464,3.1502385024724275,2.846687595215331,2.7975844010097495,2.959948681716261,3.8495092003589155,3.736845820962839,3.5100098794782344,3.9771708940431276,3.0571646851160423,2.843130195509522,3.0882192992884243,3.3700985898128915,3.0827387787771814,3.033146993581259,3.775991343001898,1.7073741577913073,3.113225810108119,3.074426944910609,1.9541983887945815,2.9849539595198764,2.9797829776228597,2.9161539188349295,2.0743957228979664,3.6505263152423,2.798243827839549,3.7462600257499483,3.321670736771614,3.2896118472356504,3.0400720889836066,2.9978452214617852
generation3,4.0,4.0,4.0,0.0,4.0,4.0,3.9931282932243386,3.886643307433701,3.947126109095047,3.9866324218363656,3.970714679024028,3.9369549780163213,3.975795527683594,3.976548256288138,3.994693331082716,3.9048461759168864,3.9032718381216496,3.788249861585948,3.9809007416767144,3.974267138302581,3.9431127168843374,3.9951438869152316,3.960625809632842,3.9818130769044524,3.963816252874066,3.974022176599752,3.9917695049789312,3.8901302596722385,3.982111795684313,3.966617883427075,3.97349122071623,3.946536209819458,3.9585378932169983,3.479332328629259,3.9769968505398117,3.958859885835766,3.7660287378498976,3.9832361067098865,3.934701451657146,3.9890986125132253,3.093058634055601,3.972801259691513,3.891682317828469,3.9707820852353133,3.9748132264588625,3.9647213086569546,3.9903628244733382,3.8764010664078707
generation4,2.0,1.0,4.0,3.0,2.0,1.0,3.9972813732404013,1.8845148457828298,3.9767522949616225,3.9186817710432726,3.0652838934513524,1.689948033888054,3.591790954773799,3.945383916980828,3.39673597977413,2.0715446276773,1.8991356257156506,1.9223308453771915,2.6281803826917987,3.622024850597124,2.2268664877481834,2.4260915676874335,3.9755571652543695,3.9831363525742236,3.9922810848977672,3.9927992692678345,3.9837741469316845,3.3810051503450294,3.6268338343947333,3.9010735328661093,3.8218182954086015,3.968915917446923,3.9943816577738924,1.4829314056748046,3.253679998915039,3.877497043793842,1.720890621721418,3.95260402653033,2.0974116529947398,2.513479091094183,2.2462693787691483,3.4595879447256372,2.3306450812794735,3.9119042532605177,3.593364171593976,3.982753138952378,3.9802851034108566,1.9229388287139135
generation5,2.0,1.0,4.0,4.0,4.0,2.0,3.974187328698543,2.9078680457598494,3.9858863790115193,3.9907192060095005,3.7210423891343383,3.3185309868017403,3.9711871084661605,3.9631277048108915,3.955837534975921,3.3417762486086495,3.778109896595858,2.902444727294828,3.963748355989064,3.976913688238245,2.7216545105025425,3.6724563381685833,3.982623319653417,3.981467230243268,3.9946548143389378,3.9918656152197958,3.9960030251381586,3.889504753649452,3.983473791033022,3.9895640977887856,3.982843734945671,3.9779125028155313,3.977387834069577,3.100050394501541,3.959666544504788,3.985406701892558,3.3183835272500803,3.988207661465506,3.898760405866715,3.7376424931613403,2.3914451273658694,3.931450035660195,3.5944784314485356,3.9735527574791147,3.9520482213409402,3.931269741150594,3.9836400542990242,3.932612155605991
generation6,2.0,1.0,3.0,3.0,4.0,2.0,3.103301104443501,2.5766135531060965,3.664438865660195,3.8738199078249154,3.587581261916759,2.5071337102490006,3.4687086547836863,3.8248096013550095,3.664296430623777,2.8784086273518366,2.764759361606911,2.7062024177929778,3.0991076053927924,2.9638812721231456,2.961617392329296,2.9979181001514688,3.7710989811923743,3.0422097593261945,3.3474410181348606,3.78042782435663,3.294935170295231,3.2773582882053525,3.618583628186416,3.8445470942893096,3.1863899981525865,3.290930294595677,3.791636727734408,2.190605435269696,3.0265811211026175,3.756191780956322,2.6836977015105727,3.509745666631402,2.8673249911863428,2.968535664921702,2.829389986600466,3.868981816990625,2.904607045596811,3.7308582673565738,3.8891368262047132,3.3848880022536347,3.1453785115229014,2.979802100377058
generation7,1.0,4.0,4.0,2.0,4.0,4.0,3.990301221288279,3.943585401272265,3.985460305933405,3.9936415334212585,3.9895349174044834,3.951703981940967,3.9913866263774143,3.9868764539878647,3.990735905806293,3.5029998926049126,3.980529589789001,2.76810200770601,3.98758153540842,3.9733980538669345,3.9621099029897797,3.98288522121702,3.99231594624729,3.992768231691932,3.9746200437525365,3.9964682462444996,3.984303334153591,3.987473584020821,3.990024855878705,3.99266092257854,3.9947109999434174,3.9785481551748934,3.987471743326408,3.381503647195762,3.9842659726007983,3.9929877866117103,2.6931864655144464,3.9784204085970085,3.926945212865604,3.9843069391116686,2.002684423707748,3.992852378251671,3.9483593788845224,3.987988845153112,3.987078721642879,3.980368716847528,3.989645434307987,3.9462155945626134
generation8,4.0,0.0,4.0,1.0,3.0,3.0,3.9943856508593494,3.365900777400579,3.974601945181871,3.9841166416522773,3.844767887077639,3.8189690442494513,3.857914242520999,3.9768691444918325,3.973367979709077,3.322092387354621,2.7687302502243067,3.121337214112998,3.966839360341808,3.905831594319094,2.995247164199526,3.4712923509557783,3.983988192141924,3.965101596538833,3.986278267034969,3.9864500905187303,3.987360619875946,3.646426002998739,3.9766181784819645,3.9666220475004823,3.982188318385038,3.9499806048256945,3.9825877853122735,2.133741654413862,3.4960213095661623,3.9515234737092224,2.679925389806756,3.9964009954247848,3.4657016188686276,3.1015725833410484,2.128980268024039,3.785738461901043,2.8735482971320088,3.9602008662292265,3.4703719480265467,3.9957191095069495,3.946484227450893,3.3549096885441196
generation9,4.0,2.0,3.0,0.0,2.0,3.0,3.2048332669820514,3.2832939409975515,3.512469483476516,3.966101433073832,3.934898805497526,3.127394152418815,3.9299623802348025,3.9524676588642444,3.9593956794059335,2.8919965193095623,3.03309046266585,2.849360915586124,3.932214590381887,3.0142661990368738,2.989165975222194,3.87126247011388,3.781076583369845,3.215776901889633,3.76256360069919,3.6826501845585464,3.1021928576638005,3.809627154091213,3.867497564739742,3.834655499141453,3.3109227508704153,3.1245771335264347,3.8072047063151184,2.892254642577788,2.9769811933954173,3.7502629471639297,0.9809887581746098,3.8906393591846946,3.2746665336570375,2.9783046307869707,1.9624689488867766,3.837774864395538,2.8689430227528545,3.936081025897044,3.7616373326244172,3.8561801764916415,3.211331013201267,3.0007553744046
generation10,0.0,0.0,4.0,2.0,0.0,2.0,3.9886777623927245,1.6539209596094893,3.920290318162768,3.9942015500865433,2.539984534208668,1.6634046487363598,3.7728928778152375,3.9435251617990135,3.76842492633236,1.453317517575957,1.6496265879075316,1.4829977341755578,3.7701125823687582,3.757561955671469,1.796555742095771,2.774464682481006,3.9816159150258863,3.892169995316535,3.984773188859681,3.985555750982128,3.990566219877313,3.912948367795163,3.7915509984406452,3.907254934975636,3.728437108074913,3.837893246181423,3.9937351133645174,1.4965636097089232,3.638341415295945,3.8391008366226576,1.3451134686676312,3.9704821819171747,1.9995579034221915,2.608832590726812,1.0308549660569155,3.625679637885176,1.7267654509833992,3.90928339167704,3.896790395348726,3.9727637558986824,3.972048394692798,2.49861948244902
